,question,question_id,question_type,survey_id
0,"In this survey, you will be presented with two versions of ""Getting Started"" options within a mortgage section of a bank's website. ​​​​​​​Please take a few minutes to answer the following questions. Remember to keep the link to the first design version open in a separate window so you can later compare it with the second design version that will be presented to you later on. Thank you in advance for your participation.",0,description,216
1,Which of the below best describes your current status?,2,single-select,216
2,"Referring to the image you have open... ​​​​​​​ If you are purchasing your first home and are interested in using a bank to get a mortgage, which option (if any) would you choose ?",3,single-select,216
3,What are your impressions of the options you were provided with?,4,rate,216
4,How clear or unclear are the options you were provided with?,5,single-select,216
5,Which options do you perceive as not being clear enough ?,6,multi-select,216
6,"Please select whether you agree or disagree with the following statement regarding the image you viewed: ""I feel that I understand the differences between the provided options for applying to a mortgage.""",7,single-select,216
7,Please explain why you feel that you don't understand the differences between the provided options for applying to a mortgage.,8,textarea,216
8,How do you feel about the number of options that are available?,9,single-select,216
9,"Now, take a look at this alternative design Version B by CLICKING ON THE LINK BELOW . Please take a few moments to go through this design version in a separate tab (you may need to zoom in on the image). Then, click 'Next' to continue with some follow-up questions.",10,description,216
10,"Now, take a look at this alternative design Version A by CLICKING ON THE LINK BELOW . Please take a few moments to go through this design version in a separate tab (you may need to zoom in on the image). Then, click 'Next' to continue with some follow-up questions.",11,description,216
11,"Referring to the second design version you have open... ​​​​​​​ If you were interested in opening an account, which option (if any) would you choose ?",12,single-select,216
12,Referring to the second design version you have open... ​​​​​​​What are your impressions of the options you were provided with?,13,rate,216
13,Referring to the second design version you have open... How clear or unclear are the options you were provided with?,14,single-select,216
14,Referring to the second design version you have open... ​​​​​​​Which options do you perceive as not being clear enough ?,15,multi-select,216
15,"Referring to the second design version you have open... ​​​​​​​ Please select whether you agree or disagree with the following statement regarding the image you viewed: ""I feel that I understand the differences between the provided options for applying to a mortgage.""",16,single-select,216
16,Please explain why you feel that you don't understand the differences between the provided options for applying to a mortgage.,17,textarea,216
17,Referring to the second design version you have open... ​​​​​​​How do you feel about the number of options that are available?,18,single-select,216
18,Which design version do you prefer overall ?,19,single-select,216
19,Please explain your answer to the previous question regarding your preference for the design version.,20,textarea,216
20,Which design version do you prefer in terms of:,21,matrix-likert,216
21,"What (if anything) do you dislike about the design version you chose? Please select ""Other"" to type in your answer.",22,single-select,216
22,"Referring to both of the design versions you viewed... Ideally, which option(s) would you prefer to be included? ​​​​​​​",23,multi-select,216
23,"Which do you feel are the top 3 options in terms of importance, if you were researching a chequing account online? Please select only 3 options.",24,multi-select,216
24,"Ideally, how many options would you prefer to see in this scenario?",25,single-select,216
25,Which of the following best describes your ethnicity?,0,single-select,217
26,"What factor(s) would motivate you to pay for this [X], if any?",0,textarea,214
27,"What factor(s) would prevent you from paying for this [X], if any?",1,textarea,214
28,Which of the following factors would MOST impact your decision to pay for this [X]?,2,single-select,214
29,How often would you expect to use this [X]?,3,single-select,214
30,How likely are you to pay for this X overall?,4,rate,214
31,How often would you expect to pay for this type of service?,0,single-select,215
32,Have you ever paid for this type of X before?,1,single-select,215
33,What most impacted your decision to pay for this X?,2,single-select,215
34,How much did you pay for this X?,3,single-select,215
35,Which of the following best describes how you felt about how much money you spent on X?,4,single-select,215
36,What would most impact your decision to pay for this X?,5,single-select,215
37,At what price range would you expect this X to be valued?,6,single-select,215
38,What led you to that expected price range?,7,textarea,215
39,Please select the type(s) of insurance you currently have.,0,multi-select,212
40,"You have qualified for an opportunity to participate in an IN-PERSON interview at our research office in Soho, NYC for an additional incentive of $[INSERT INCENTIVE]​​​​​​​ via PayPal. Interview Details: Location: Soho, NYC Interview Topic: [INSERT TOPIC] Length: [INSERT MINUTES] minutes Compensation: $[INSERT INCENTIVE] via PayPal Requirements : - Bring a smartphone - Ability to come in to our research office in Soho, NYC If you are interested, click 'Yes'. You will be prompted to schedule your interview in the next screen.",0,single-select,213
41,Great! Ready to schedule your interview? ​​​​​​​ ​​​​​​​ Click the 'CLICK TO SCHEDULE' link below to choose your time slot. Thank you for your interest - We look forward to seeing you at our office at your scheduled interview time!,1,description,213
42,How would you rate your overall reaction to that experience?,0,rate,210
43,How did you feel about the amount of time it took to complete this experience?,1,textarea,210
44,Was there any point where you would have considered abandoning this experience?,2,single-select,210
45,At what point would you have abandoned this experience? Please be specific!,3,textarea,210
46,How did you feel about the amount of time it took to [insert task description] ?,4,single-select,210
47,"What is your initial reaction to the [testing item type: e.g. company name, tagline, description] you viewed previously?",1,rate,211
48,How much does the [testing type] fit with what you know about this product?,2,single-select,211
49,How unique or not unique is the [testing item type]?,3,rate,211
50,"Based on the [testing type], how clear or unclear is the purpose of this product?",4,rate,211
51,"Based on the [testing type], how interested or uninterested would you be to find out more about this product?",5,rate,211
52,Would you provide your email address to learn more about this product?,6,single-select,211
53,Which of the following job titles have you held previously or do you currently hold?,1,multi-select,5b5bc17b5b6ee10004bbef8b
54,Which of the following products have you sold or otherwise worked with?,2,multi-select,5b5bc17b5b6ee10004bbef8b
